,Date,Home Team,Away Team,Home 1,Away 1,Home 2,Away 2,Home 3,Away 3,Home 4,Away 4,Home OT,Away OT,Home 2OT,Away 2OT,Home 3OT,Away 3OT,Home T,Away T
102,20210105,San Antonio,LA Clippers,36,27,27,17,22,40,31,29,0,0,0,0,0,0,116,113
103,20210105,LA Lakers,Memphis,19,24,26,25,22,19,27,24,0,0,0,0,0,0,94,92
104,20210105,Chicago,Portland,21,39,24,15,36,31,30,23,0,0,0,0,0,0,111,108
105,20210106,Charlotte,Atlanta,27,11,32,29,22,27,21,27,0,0,0,0,0,0,102,94
106,20210106,LA Clippers,Golden State,21,15,31,36,31,26,25,24,0,0,0,0,0,0,108,101
107,20210106,Houston,Indiana,30,35,26,27,31,28,20,24,0,0,0,0,0,0,107,114
108,20210106,Boston,Miami,34,26,19,19,27,35,27,25,0,0,0,0,0,0,107,105
109,20210106,Detroit,Milwaukee,33,44,23,38,26,26,33,22,0,0,0,0,0,0,115,130
110,20210106,Oklahoma City,New Orleans,26,34,28,25,34,19,23,32,0,0,0,0,0,0,111,110
111,20210106,Utah,New York,27,20,29,24,19,34,25,34,0,0,0,0,0,0,100,112
112,20210106,Cleveland,Orlando,23,15,22,36,19,32,30,22,0,0,0,0,0,0,94,105
113,20210106,Washington,Philadelphia,24,33,43,49,39,34,30,25,0,0,0,0,0,0,136,141
114,20210106,Toronto,Phoenix,25,22,29,36,33,38,28,27,0,0,0,0,0,0,115,123
115,20210106,Chicago,Sacramento,25,28,34,34,34,31,31,35,0,0,0,0,0,0,124,128
116,20210107,Philadelphia,Brooklyn,26,28,25,37,33,29,25,28,0,0,0,0,0,0,109,122
117,20210107,Dallas,Denver,22,28,21,24,33,26,33,31,15,8,0,0,0,0,124,117
118,20210107,San Antonio,LA Lakers,34,26,31,30,26,33,27,20,0,0,0,0,0,0,118,109
119,20210107,Cleveland,Memphis,19,24,27,21,21,24,27,21,0,0,0,0,0,0,94,90
120,20210107,Minnesota,Portland,29,28,27,47,24,36,37,24,0,0,0,0,0,0,117,135
121,20210108,Washington,Boston,28,33,19,33,34,30,26,20,0,0,0,0,0,0,107,116
122,20210108,Phoenix,Detroit,29,20,27,28,20,24,17,21,12,17,0,0,0,0,105,110
123,20210108,LA Clippers,Golden State,30,22,35,29,22,30,18,34,0,0,0,0,0,0,105,115
124,20210108,Orlando,Houston,17,32,16,30,24,31,33,39,0,0,0,0,0,0,90,132
125,20210108,Chicago,LA Lakers,33,28,25,31,30,33,27,25,0,0,0,0,0,0,115,117
126,20210108,Brooklyn,Memphis,28,40,19,22,39,30,24,23,0,0,0,0,0,0,110,115
127,20210108,Utah,Milwaukee,34,31,31,27,39,38,27,22,0,0,0,0,0,0,131,118
128,20210108,Charlotte,New Orleans,22,38,25,21,35,28,36,23,0,0,0,0,0,0,118,110
129,20210108,Oklahoma City,New York,15,24,27,18,27,21,32,26,0,0,0,0,0,0,101,89
130,20210108,Toronto,Sacramento,35,43,36,31,40,29,33,20,0,0,0,0,0,0,144,123
131,20210109,Atlanta,Charlotte,29,28,21,31,26,28,29,26,0,0,0,0,0,0,105,113
132,20210109,Orlando,Dallas,27,36,23,20,25,29,23,27,0,0,0,0,0,0,98,112
133,20210109,Phoenix,Indiana,30,32,26,21,34,34,35,30,0,0,0,0,0,0,125,117
134,20210109,Cleveland,Milwaukee,14,27,23,20,26,31,27,22,0,0,0,0,0,0,90,100
135,20210109,San Antonio,Minnesota,28,34,32,24,23,27,30,28,12,9,0,0,0,0,125,122
136,20210109,Denver,Philadelphia,28,26,30,25,35,21,22,31,0,0,0,0,0,0,115,103
137,20210109,Portland,Sacramento,38,24,28,25,27,20,32,30,0,0,0,0,0,0,125,99
138,20210109,Miami,Washington,47,44,28,27,28,15,25,38,0,0,0,0,0,0,128,124
139,20210110,Oklahoma City,Brooklyn,29,41,28,22,37,18,35,35,0,0,0,0,0,0,129,116
140,20210110,Utah,Detroit,34,19,23,21,17,28,22,18,0,0,0,0,0,0,96,86
141,20210110,Toronto,Golden State,24,31,27,30,21,26,33,19,0,0,0,0,0,0,105,106
142,20210110,LA Lakers,Houston,25,21,40,25,23,29,32,27,0,0,0,0,0,0,120,102
143,20210110,Chicago,LA Clippers,31,22,28,30,35,42,33,36,0,0,0,0,0,0,127,130
