,Date,Team,1,2,3,4,T
388,20210118,Detroit,36,25,19,27,107
389,20210118,Miami,24,31,33,25,113
390,20210118,Orlando,13,25,16,30,84
391,20210118,New York,19,28,19,25,91
392,20210118,San Antonio,32,27,28,38,125
393,20210118,Portland,28,26,28,22,104
394,20210118,Dallas,18,29,25,21,93
395,20210118,Toronto,22,25,34,35,116
396,20210119,Oklahoma City,31,21,22,27,101
397,20210119,Denver,31,34,32,22,119
398,20210119,New Orleans,24,25,20,33,102
399,20210119,Utah,29,26,36,27,118
400,20210120,Detroit,31,21,40,14,106
401,20210120,Atlanta,29,16,33,28,106
402,20210120,Brooklyn,23,26,29,35,113
403,20210120,Cleveland,28,23,36,26,113
404,20210120,San Antonio,24,21,26,28,99
405,20210120,Golden State,36,28,26,31,121
406,20210120,Phoenix,30,33,26,20,109
407,20210120,Houston,23,28,31,21,103
408,20210120,Dallas,37,28,28,31,124
409,20210120,Indiana,28,35,29,20,112
410,20210120,Sacramento,29,27,19,21,96
411,20210120,LA Clippers,25,36,34,20,115
412,20210120,Orlando,25,10,33,29,97
413,20210120,Minnesota,21,30,26,19,96
414,20210120,Boston,25,36,31,17,109
415,20210120,Philadelphia,32,26,28,31,117
416,20210120,Miami,29,27,32,23,111
417,20210120,Toronto,23,35,25,19,102
418,20210121,New York,40,23,26,30,119
419,20210121,Golden State,31,26,19,28,104
420,20210121,LA Lakers,29,34,23,27,113
421,20210121,Milwaukee,33,24,24,25,106
422,20210121,New Orleans,43,26,23,26,118
423,20210121,Utah,31,39,30,29,129
424,20210122,Chicago,30,31,34,28,123
425,20210122,Charlotte,29,24,30,27,110
426,20210122,Brooklyn,33,27,24,29,113
427,20210122,Cleveland,34,27,37,27,125
428,20210122,Houston,34,21,22,26,103
429,20210122,Detroit,21,26,34,21,102
430,20210122,Orlando,28,32,27,21,108
431,20210122,Indiana,37,25,26,20,108
432,20210122,Oklahoma City,18,35,25,28,106
433,20210122,LA Clippers,36,34,21,29,120
434,20210122,Atlanta,25,37,30,24,116
435,20210122,Minnesota,19,24,24,31,98
436,20210122,Boston,33,19,28,30,110
437,20210122,Philadelphia,25,24,42,31,122
438,20210122,Denver,25,29,37,23,114
439,20210122,Phoenix,34,34,27,19,114
440,20210122,New York,26,28,18,22,94
441,20210122,Sacramento,25,24,27,27,103
442,20210122,Dallas,37,31,27,27,122
443,20210122,San Antonio,34,24,27,32,117
444,20210122,Miami,20,22,22,17,81
445,20210122,Toronto,37,19,17,28,101
446,20210123,Miami,25,31,26,42,124
447,20210123,Brooklyn,36,30,30,32,128
448,20210123,LA Lakers,29,34,20,18,101
449,20210123,Chicago,17,16,33,24,90
450,20210123,Houston,38,32,34,29,133
451,20210123,Dallas,27,32,24,25,108
452,20210123,Philadelphia,28,33,33,20,114
453,20210123,Detroit,31,32,25,22,110
454,20210123,New Orleans,31,33,14,32,110
455,20210123,Minnesota,28,35,24,33,120
456,20210123,Denver,28,30,15,25,98
457,20210123,Phoenix,30,31,16,21,98
458,20210123,Golden State,30,17,25,36,108
459,20210123,Utah,39,38,31,19,127
460,20210124,Cleveland,21,30,27,25,103
461,20210124,Boston,38,35,41,27,141
462,20210124,Toronto,24,34,19,30,107
463,20210124,Indiana,24,23,28,27,102
464,20210124,Oklahoma City,19,26,28,27,100
465,20210124,LA Clippers,36,20,29,23,108
466,20210124,Atlanta,15,32,36,32,115
467,20210124,Milwaukee,32,34,28,35,129
468,20210124,Charlotte,24,26,24,33,107
469,20210124,Orlando,29,29,28,18,104
470,20210124,New York,24,26,27,36,113
471,20210124,Portland,37,33,19,27,116
472,20210124,Washington,26,21,30,24,101
473,20210124,San Antonio,23,25,37,36,121
474,20210125,Miami,21,24,26,14,85
475,20210125,Brooklyn,15,26,29,28,98
476,20210125,Boston,33,27,31,28,119
477,20210125,Chicago,25,25,26,27,103
478,20210125,LA Lakers,34,31,22,28,115
479,20210125,Cleveland,23,35,31,19,108
480,20210125,Denver,38,32,22,25,117
481,20210125,Dallas,31,27,36,19,113
482,20210125,Philadelphia,23,27,25,29,104
483,20210125,Detroit,34,30,25,30,119
484,20210125,Minnesota,23,31,29,25,108
485,20210125,Golden State,34,34,25,37,130
486,20210125,Toronto,30,30,37,17,114
487,20210125,Indiana,33,37,28,31,129
488,20210125,Charlotte,30,24,22,32,108
489,20210125,Orlando,19,36,32,30,117
490,20210125,Oklahoma City,34,35,25,31,125
491,20210125,Portland,24,36,31,31,122
492,20210126,LA Clippers,21,27,22,29,99
493,20210126,Atlanta,22,21,33,32,108
494,20210126,Washington,29,23,18,18,88
495,20210126,Houston,26,30,19,32,107
496,20210126,New York,27,32,22,13,94
497,20210126,Utah,18,28,34,28,108
498,20210127,Brooklyn,26,29,28,33,116
499,20210127,Atlanta,27,28,32,29,116
500,20210127,Indiana,36,23,25,32,116
501,20210127,Charlotte,19,36,25,26,106
502,20210127,Detroit,28,28,26,25,107
503,20210127,Cleveland,32,22,36,32,122
504,20210127,Minnesota,21,30,24,36,111
505,20210127,Golden State,23,35,37,28,123
506,20210127,Denver,26,32,16,35,109
507,20210127,Miami,12,21,32,17,82
508,20210127,Washington,18,27,35,26,106
509,20210127,New Orleans,35,29,30,30,124
510,20210127,Sacramento,32,33,31,25,121
511,20210127,Orlando,23,27,27,30,107
512,20210127,LA Lakers,24,27,23,32,106
513,20210127,Philadelphia,34,21,26,26,107
514,20210127,Oklahoma City,17,28,28,29,102
515,20210127,Phoenix,32,10,29,26,97
516,20210127,Boston,30,17,37,22,106
517,20210127,San Antonio,25,36,21,28,110
518,20210127,Milwaukee,33,30,20,32,115
519,20210127,Toronto,33,21,28,26,108
520,20210127,Dallas,19,29,30,26,104
521,20210127,Utah,32,37,31,16,116
522,20210128,LA Lakers,31,27,20,14,92
523,20210128,Detroit,34,22,26,25,107
524,20210128,Portland,32,18,27,24,101
525,20210128,Houston,17,36,33,18,104
526,20210128,LA Clippers,19,29,40,21,109
527,20210128,Miami,33,17,19,36,105
528,20210128,Golden State,29,18,24,22,93
529,20210128,Phoenix,36,16,33,29,114
530,20210129,Indiana,28,32,20,25,105
531,20210129,Charlotte,32,32,25,19,108
532,20210129,Philadelphia,25,28,35,30,118
533,20210129,Minnesota,25,23,26,20,94
534,20210129,Milwaukee,21,24,44,37,126
535,20210129,New Orleans,35,33,35,28,131
536,20210129,Cleveland,17,16,22,26,81
537,20210129,New York,19,28,25,30,102
538,20210129,Brooklyn,36,40,39,32,147
539,20210129,Oklahoma City,27,32,35,31,125
540,20210129,LA Clippers,26,36,28,26,116
541,20210129,Orlando,26,22,23,19,90
542,20210129,Denver,30,25,31,23,109
543,20210129,San Antonio,37,24,26,32,119
544,20210129,Sacramento,36,32,36,22,126
545,20210129,Toronto,24,34,33,33,124
546,20210129,Dallas,12,33,23,33,101
547,20210129,Utah,37,24,33,26,120
548,20210129,Atlanta,31,30,28,27,116
549,20210129,Washington,22,28,21,29,100
550,20210130,LA Lakers,28,24,19,25,96
551,20210130,Boston,24,25,29,17,95
552,20210130,Portland,32,32,29,30,123
553,20210130,Chicago,34,19,33,36,122
554,20210130,Milwaukee,31,33,30,20,114
555,20210130,Charlotte,39,29,29,29,126
556,20210130,Phoenix,29,26,22,34,111
557,20210130,Dallas,28,27,27,23,105
558,20210130,Detroit,17,28,23,23,91
559,20210130,Golden State,29,35,30,24,118
560,20210130,Sacramento,35,24,18,27,104
561,20210130,Miami,24,33,27,21,105
562,20210130,Houston,27,48,24,27,126
563,20210130,New Orleans,35,22,27,28,112
564,20210130,Memphis,35,29,36,29,129
565,20210130,San Antonio,27,29,34,22,112
566,20210131,Utah,29,25,37,26,117
567,20210131,Denver,43,36,24,25,128
568,20210131,Philadelphia,18,36,28,37,119
569,20210131,Indiana,28,35,32,15,110
570,20210131,Cleveland,35,26,25,18,104
571,20210131,Minnesota,30,25,33,21,109
572,20210131,LA Clippers,29,37,35,28,129
573,20210131,New York,31,34,26,24,115
574,20210131,Orlando,15,29,29,29,102
575,20210131,Toronto,27,31,26,31,115
576,20210131,Brooklyn,38,33,37,38,146
577,20210131,Washington,28,37,36,48,149
578,20210201,LA Lakers,28,22,25,32,107
579,20210201,Atlanta,25,21,30,23,99
580,20210201,New York,27,28,26,21,102
581,20210201,Chicago,32,27,25,26,110
582,20210201,Minnesota,29,15,23,31,98
583,20210201,Cleveland,29,23,24,24,100
584,20210201,Phoenix,22,25,30,32,109
585,20210201,Dallas,22,31,29,26,108
586,20210201,Charlotte,28,26,34,25,113
587,20210201,Miami,29,28,25,31,113
588,20210201,Portland,36,20,21,29,106
589,20210201,Milwaukee,46,33,34,21,134
590,20210201,Sacramento,30,30,27,31,118
591,20210201,New Orleans,33,29,32,15,109
592,20210201,Houston,48,25,29,34,136
593,20210201,Oklahoma City,24,30,22,30,106
594,20210201,Memphis,33,36,27,37,133
595,20210201,San Antonio,31,22,30,19,102
596,20210202,LA Clippers,32,26,32,30,120
597,20210202,Brooklyn,24,33,31,36,124
598,20210202,Boston,24,28,34,25,111
599,20210202,Golden State,35,17,33,22,107
600,20210202,Memphis,27,23,35,31,116
601,20210202,Indiana,37,34,33,30,134
602,20210202,Toronto,33,31,32,27,123
603,20210202,Orlando,31,29,22,26,108
604,20210202,Detroit,22,24,31,28,105
605,20210202,Utah,33,36,25,23,117
606,20210202,Portland,40,35,31,26,132
607,20210202,Washington,23,40,27,31,121
608,20210203,Dallas,26,27,35,34,122
609,20210203,Atlanta,22,34,27,33,116
610,20210203,New York,34,29,28,16,107
611,20210203,Chicago,17,35,24,27,103
612,20210203,Philadelphia,30,34,25,29,118
613,20210203,Charlotte,13,29,34,35,111
614,20210203,LA Clippers,33,19,36,33,121
615,20210203,Cleveland,25,24,25,25,99
616,20210203,Washington,31,24,22,26,103
617,20210203,Miami,34,31,17,18,100
618,20210203,Indiana,21,30,21,38,110
619,20210203,Milwaukee,29,39,38,24,130
