,Player,Prop,Over,Over Odds,Under,Under Odds
245,Dorian Finney-Smith,Pts + Reb + Ast,17.5,102,17.5,-130
246,Kristaps Porzingis,Pts + Reb + Ast,30.5,-122,30.5,-104
247,Dorian Finney-Smith,Reb + Ast,7.5,-104,7.5,-120
248,Kristaps Porzingis,Reb + Ast,10.5,-113,10.5,-113
249,De'Aaron Fox,Points,27.5,-106,27.5,-116
250,Buddy Hield,Points,15.5,-114,15.5,-108
251,Harrison Barnes,Points,14.5,-118,14.5,-104
252,Saddiq Bey,Points,13.5,-106,13.5,-116
253,Josh Jackson,Points,13.5,-116,13.5,-104
254,Tyrese Haliburton,Points,13.5,-106,13.5,-116
255,Richaun Holmes,Points,15.5,-102,15.5,-120
256,De'Aaron Fox,Rebounds,3.5,-118,3.5,-104
257,Buddy Hield,Rebounds,4.5,124,4.5,-152
258,Harrison Barnes,Rebounds,6.5,-134,6.5,110
259,Saddiq Bey,Rebounds,4.5,128,4.5,-158
260,Josh Jackson,Rebounds,4.5,112,4.5,-138
261,Tyrese Haliburton,Rebounds,3.5,126,3.5,-154
262,Richaun Holmes,Rebounds,9.5,-132,9.5,108
263,Harrison Barnes,Assists,3.5,106,3.5,-130
264,Buddy Hield,Assists,2.5,-152,2.5,124
265,De'Aaron Fox,Assists,6.5,-148,6.5,120
266,Tyrese Haliburton,Assists,4.5,-150,4.5,122
267,Buddy Hield,Made Threes,3.5,-125,3.5,-102
268,Harrison Barnes,Made Threes,1.5,154,1.5,-200
269,De'Aaron Fox,Made Threes,1.5,-156,1.5,122
270,Josh Jackson,Made Threes,1.5,132,1.5,-170
271,Saddiq Bey,Made Threes,2.5,-140,2.5,110
272,Tyrese Haliburton,Made Threes,1.5,-156,1.5,122
273,De'Aaron Fox,Reb + Ast,10.5,-130,10.5,102
274,Buddy Hield,Reb + Ast,7.5,106,7.5,-136
275,Harrison Barnes,Reb + Ast,10.5,-113,10.5,-115
276,Saddiq Bey,Reb + Ast,5.5,-115,5.5,-111
277,Josh Jackson,Reb + Ast,6.5,-113,6.5,-113
278,De'Aaron Fox,Pts + Ast,34.5,-113,34.5,-113
279,Buddy Hield,Pts + Ast,18.5,-120,18.5,-106
280,Harrison Barnes,Pts + Ast,18.5,-108,18.5,-118
281,Saddiq Bey,Pts + Ast,14.5,-130,14.5,102
282,Josh Jackson,Pts + Ast,16.5,100,16.5,-128
283,De'Aaron Fox,Pts + Reb,31.5,-104,31.5,-122
284,Buddy Hield,Pts + Reb,19.5,-125,19.5,-102
285,Harrison Barnes,Pts + Reb,22.5,100,22.5,-128
286,Saddiq Bey,Pts + Reb,17.5,-120,17.5,-106
287,Josh Jackson,Pts + Reb,18.5,-106,18.5,-120
288,De'Aaron Fox,Pts + Reb + Ast,38.5,-111,38.5,-115
289,Buddy Hield,Pts + Reb + Ast,23.5,-102,23.5,-125
290,Harrison Barnes,Pts + Reb + Ast,25.5,-113,25.5,-113
291,Saddiq Bey,Pts + Reb + Ast,19.5,-108,19.5,-118
292,Josh Jackson,Pts + Reb + Ast,20.5,-113,20.5,-113
293,Tyrese Haliburton,Pts + Ast,18.5,-113,18.5,-113
294,Richaun Holmes,Pts + Ast,16.5,-122,16.5,-104
295,Tyrese Haliburton,Pts + Reb,16.5,-118,16.5,-108
296,Richaun Holmes,Pts + Reb,25.5,-111,25.5,-115
297,Tyrese Haliburton,Pts + Reb + Ast,21.5,-122,21.5,-104
298,Richaun Holmes,Pts + Reb + Ast,27.5,-102,27.5,-125
299,Tyrese Haliburton,Reb + Ast,8.5,102,8.5,-130
300,Richaun Holmes,Reb + Ast,11.5,-113,11.5,-113
301,Kawhi Leonard,Points,25.5,-106,25.5,-116
302,Paul George,Points,22.5,-110,22.5,-110
303,Marcus Morris,Points,12.5,-110,12.5,-110
304,Ivica Zubac,Points,9.5,-108,9.5,-114
305,Chris Paul,Points,16.5,-104,16.5,-118
